time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD-Q_Cout,CBZ_Cout,BTZ_Cout,SFX_Cout,FIP_Cout,HMMM_Cout,CAFF_Cout,Bromide_Min
8549.5,8.151234071874642e-06,8.151234071874642e-06,21.4524930433816,21.4524930433816,21.4524930433816,6.916384560443316,6.916384560443316,633.2911925985883,5.266567119073973,3560358978.2199936,0,0,74,1,0.027162244114115237,0.01675557137630826,0.004694677159636285,0.047370085688371553,0.004675148817941977,0.0379675338375011,0.0031020581991225283,0.008000851757003873,0.0
8550.0,8.156642522936223e-06,8.156642522936223e-06,21.451665431461308,21.451665431461308,21.451665431461308,6.913795487553054,6.913795487553054,633.1417159314211,5.270245589090886,3561121440.9414573,0,0,74,1,0.027102377146966533,0.01662627081765664,0.0044743873189705685,0.04740148677155551,0.004690584311827356,0.037969217836850686,0.003097269289542839,0.0077661951875990926,0.0
8550.5,8.161918112161265e-06,8.161918112161265e-06,21.450839444036998,21.450839444036998,21.450839444036998,6.911203219037319,6.911203219037319,632.9915214917361,5.273935998713364,3561884012.511065,0,0,74,1,0.027042675083573338,0.016499534162688987,0.004258465610507162,0.04743211026483875,0.004705697564098582,0.03797085494760276,0.003092575339358852,0.007536191628583731,0.0
8551.0,8.167060433264351e-06,8.167060433264351e-06,21.450015086573536,21.450015086573536,21.450015086573536,6.908607822542734,6.908607822542734,632.840612104595,5.2776382066443,3562646692.9365854,0,0,74,1,0.026983143435908716,0.016375403789978593,0.004046984234778339,0.04746195414022958,0.004720484378230501,0.03797244533767925,0.0030879779181473554,0.007310917989220421,0.0
8551.5,8.172069079960069e-06,8.172069079960069e-06,21.449192364535794,21.449192364535794,21.449192364535794,6.906009365715921,6.906009365715921,632.6889905950597,5.2813520715865865,3563409482.2257886,0,0,74,1,0.026923787715945734,0.01625392207809874,0.003840015392316376,0.0474910163697363,0.004734940557697957,0.037973989175002124,0.0030834785954851392,0.007090451178771787,0.0
8552.0,8.176943645963003e-06,8.176943645963003e-06,21.448371283388624,21.448371283388624,21.448371283388624,6.903407916203502,6.903407916203502,632.5366597881921,5.285077452243114,3564172380.3864417,0,0,74,1,0.026864613435657457,0.01613513140562272,0.0036376312836535266,0.04751929492536722,0.004749061905975802,0.03797548662749331,0.0030790789409489904,0.006874868106500502,0.0
8552.5,8.18168372498774e-06,8.18168372498774e-06,21.44755184859689,21.44755184859689,21.44755184859689,6.9008035416521025,6.9008035416521025,632.3836225090537,5.288814207316778,3564935387.426316,0,0,74,1,0.026805626107016957,0.016019074151123823,0.003439904109322066,0.04754678777913065,0.004762844226538873,0.037976937863074746,0.0030747805241156975,0.006664245681669165,0.0
8553.0,8.186288910748867e-06,8.186288910748867e-06,21.44673406562546,21.44673406562546,21.44673406562546,6.898196309708341,6.898196309708341,632.2298815827068,5.29256219551047,3565698503.3531775,0,0,74,1,0.0267468312419973,0.01590579269317534,0.003246906069854269,0.04757349290303488,0.004776283322862022,0.03797834304966838,0.0030705849145620497,0.0064586608135404275,0.0
8553.5,8.190758796960969e-06,8.190758796960969e-06,21.445917939939193,21.445917939939193,21.445917939939193,6.895586288018844,6.895586288018844,632.0754398342127,5.296321275527082,3566461728.1747975,0,0,74,1,0.026688234352571547,0.015795329410350542,0.003058709365782418,0.0475994082690882,0.004789374998420092,0.03797970235519615,0.0030664936818648354,0.006258190411376929,0.0
8554.0,8.19509297733863e-06,8.19509297733863e-06,21.445103477002956,21.445103477002956,21.445103477002956,6.892973544230234,6.892973544230234,631.9203000886336,5.300091306069508,3567225061.898945,0,0,74,1,0.026629840950712764,0.015687726681222744,0.002875386197638753,0.047624531849298934,0.0048021150566879296,0.037981015947579994,0.0030625083956008427,0.0060629113844412885,0.0
8554.5,8.199291045596437e-06,8.199291045596437e-06,21.444290682281604,21.444290682281604,21.444290682281604,6.890358145989134,6.890358145989134,631.7644651710311,5.30387214584064,3567988504.5333877,0,0,74,1,0.026571656548394013,0.01558302688436522,0.0026970087659555636,0.047648861615675386,0.00481449930114038,0.03798228399474185,0.0030586306253468608,0.005872900641996151,0.0
8555.0,8.203352595448977e-06,8.203352595448977e-06,21.443479561240004,21.443479561240004,21.443479561240004,6.887740160942164,6.887740160942164,631.6079379064672,5.307663653543371,3568752056.0858946,0,0,74,1,0.026513686657588378,0.015481272398351259,0.0025236492712651173,0.047672395540225856,0.0048265235352522905,0.03798350666460367,0.0030548619406796772,0.005688235093304149,0.0
8555.5,8.207277220610836e-06,8.207277220610836e-06,21.44267011934302,21.44267011934302,21.44267011934302,6.885119656735949,6.885119656735949,631.4507211200037,5.311465687880595,3569515716.564235,0,0,74,1,0.026455936790268905,0.015382505601754158,0.0023553799140996756,0.04769513159495864,0.004838183562498506,0.037984684125087397,0.0030512039111760805,0.005508991647627921,0.0
8556.0,8.211064514796598e-06,8.211064514796598e-06,21.441862362055517,21.441862362055517,21.441862362055517,6.88249670101711,6.88249670101711,631.2928176367022,5.315278107555201,3570279485.976179,0,0,74,1,0.02639841245840868,0.015286768873147193,0.0021922728949915135,0.047717067751882045,0.004849475186353872,0.03798581654411496,0.0030476581064128594,0.0053352472142301,0.0
8556.5,8.21471407172085e-06,8.21471407172085e-06,21.44105629484235,21.44105629484235,21.44105629484235,6.879871361432272,6.879871361432272,631.1342302816248,5.319100771270087,3571043364.329494,0,0,74,1,0.026341119173980743,0.015194104591103659,0.002034400414472906,0.04773820198300438,0.004860394210293235,0.03798690408960831,0.003044226095966803,0.005167078702373325,0.0
8557.0,8.218225485098178e-06,8.218225485098178e-06,21.44025192316839,21.44025192316839,21.44025192316839,6.877243705628057,6.877243705628057,630.9749618798331,5.322933537728141,3571807351.631949,0,0,74,1,0.026284062448958187,0.015104555134196854,0.0018818346730761215,0.04775853226033394,0.004870936437791438,0.03798794692948939,0.0030409094494146987,0.00500456302132022,0.0
8557.5,8.221598348643166e-06,8.221598348643166e-06,21.43944925249849,21.43944925249849,21.43944925249849,6.874613801251089,6.874613801251089,630.8150152563891,5.326776265632258,3572571447.891314,0,0,74,1,0.026227247795314067,0.015018162881000052,0.001734647871333428,0.04777805655587903,0.004881097672323331,0.03798894523168013,0.003037709736333336,0.004847777080333446,0.0
8558.0,8.224832256070405e-06,8.224832256070405e-06,21.438648288297525,21.438648288297525,21.438648288297525,6.871981715947987,6.871981715947987,630.6543932363545,5.3306288136853315,3573335653.115357,0,0,74,1,0.026170680725021447,0.014934970210086537,0.0015929122097770726,0.047796772841647954,0.0048908737173637565,0.03798989916410247,0.0030346285262995024,0.004696797788675586,0.0
8558.5,8.227926801094475e-06,8.227926801094475e-06,21.43784903603035,21.43784903603035,21.43784903603035,6.8693475173653775,6.8693475173653775,630.4930986447911,5.334491040590252,3574099967.3118467,0,0,74,1,0.026114366750053398,0.014855019500029619,0.0014566998889393584,0.047814679089649016,0.004900260376387562,0.03799080889467837,0.0030316673888899867,0.0045517020556093135,0.0
8559.0,8.230881577429964e-06,8.230881577429964e-06,21.437051501161832,21.437051501161832,21.437051501161832,6.866711273149881,6.866711273149881,630.3311343067608,5.338362805049913,3574864390.4885535,0,0,74,1,0.026058311382382977,0.01477835312940258,0.0013260831093525466,0.047831773271890525,0.004909253452869593,0.03799167459132975,0.003028827893681578,0.004412566790397296,0.0
